id,clave,name,descripcion
cfd_mx.unidadesmedida_STN,STN,ton (US) or short ton (UK/US),Synonym: net ton (2000 lb)
cfd_mx.unidadesmedida_APZ,APZ,troy ounce or apothecary ounce,
cfd_mx.unidadesmedida_F13,F13,slug,A unit of mass. One slug is the mass accelerated at 1 foot per second per second by a force of 1 pound.
cfd_mx.unidadesmedida_K64,K64,pound (avoirdupois) per degree Fahrenheit,
cfd_mx.unidadesmedida_L69,L69,tonne per kelvin,
cfd_mx.unidadesmedida_L87,L87,ton short per degree Fahrenheit,
cfd_mx.unidadesmedida_M85,M85,"ton, assay",Non SI-conforming unit of the mass used in the mineralogy to determine the concentration of precious metals in ore according to the mass of the precious metal in milligrams in a sample of the mass of an assay sound (number of troy ounces in a short ton (1 000 lb)).
cfd_mx.unidadesmedida_M86,M86,pfund,Outdated unit of the mass used in Germany.
cfd_mx.unidadesmedida_KMQ,KMQ,kilogram per cubic metre,A unit of weight expressed in kilograms of a substance that fills a volume of one cubic metre.
cfd_mx.unidadesmedida_23,23,gram per cubic centimetre,
cfd_mx.unidadesmedida_D41,D41,tonne per cubic metre,
cfd_mx.unidadesmedida_GJ,GJ,gram per millilitre,
cfd_mx.unidadesmedida_B35,B35,kilogram per litre,
cfd_mx.unidadesmedida_GL,GL,gram per litre,
cfd_mx.unidadesmedida_A93,A93,gram per cubic metre,
cfd_mx.unidadesmedida_GP,GP,milligram per cubic metre,
cfd_mx.unidadesmedida_B72,B72,megagram per cubic metre,
cfd_mx.unidadesmedida_B34,B34,kilogram per cubic decimetre,
cfd_mx.unidadesmedida_H64,H64,milligram per gram,
cfd_mx.unidadesmedida_H29,H29,microgram per litre,
cfd_mx.unidadesmedida_M1,M1,milligram per litre,
cfd_mx.unidadesmedida_GQ,GQ,microgram per cubic metre,
cfd_mx.unidadesmedida_G11,G11,gram per cubic centimetre bar,
cfd_mx.unidadesmedida_G33,G33,gram per cubic centimetre kelvin,
cfd_mx.unidadesmedida_F23,F23,gram per cubic decimetre,
cfd_mx.unidadesmedida_G12,G12,gram per cubic decimetre bar,
cfd_mx.unidadesmedida_G34,G34,gram per cubic decimetre kelvin,
cfd_mx.unidadesmedida_G14,G14,gram per cubic metre bar,
cfd_mx.unidadesmedida_G36,G36,gram per cubic metre kelvin,
cfd_mx.unidadesmedida_G13,G13,gram per litre bar,
cfd_mx.unidadesmedida_G35,G35,gram per litre kelvin,
cfd_mx.unidadesmedida_G15,G15,gram per millilitre bar,
cfd_mx.unidadesmedida_G37,G37,gram per millilitre kelvin,
cfd_mx.unidadesmedida_G31,G31,kilogram per cubic centimetre,
cfd_mx.unidadesmedida_G16,G16,kilogram per cubic centimetre bar,
cfd_mx.unidadesmedida_G38,G38,kilogram per cubic centimetre kelvin,
cfd_mx.unidadesmedida_G18,G18,kilogram per cubic metre bar,
cfd_mx.unidadesmedida_G40,G40,kilogram per cubic metre kelvin,
cfd_mx.unidadesmedida_H54,H54,kilogram per cubic decimetre kelvin,
cfd_mx.unidadesmedida_H55,H55,kilogram per cubic decimetre bar,
cfd_mx.unidadesmedida_F14,F14,gram per kelvin,
cfd_mx.unidadesmedida_F15,F15,kilogram per kelvin,
cfd_mx.unidadesmedida_F24,F24,kilogram per kilomol,
cfd_mx.unidadesmedida_G17,G17,kilogram per litre bar,
cfd_mx.unidadesmedida_G39,G39,kilogram per litre kelvin,
cfd_mx.unidadesmedida_H53,H53,kilogram per bar,
cfd_mx.unidadesmedida_F18,F18,kilogram square centimetre,
cfd_mx.unidadesmedida_F19,F19,kilogram square millimetre,
cfd_mx.unidadesmedida_F74,F74,gram per bar,
cfd_mx.unidadesmedida_F75,F75,milligram per bar,
cfd_mx.unidadesmedida_F16,F16,milligram per kelvin,
cfd_mx.unidadesmedida_M73,M73,kilogram per cubic metre pascal,SI base unit kilogram divided by the product of the power of the SI base unit metre with exponent 3 and the derived SI unit pascal.
cfd_mx.unidadesmedida_87,87,pound per cubic foot,
cfd_mx.unidadesmedida_GE,GE,pound per gallon (US),
cfd_mx.unidadesmedida_LA,LA,pound per cubic inch,
cfd_mx.unidadesmedida_G32,G32,ounce (avoirdupois) per cubic yard,
cfd_mx.unidadesmedida_J34,J34,microgram per cubic metre kelvin,
cfd_mx.unidadesmedida_J35,J35,microgram per cubic metre bar,
cfd_mx.unidadesmedida_K41,K41,grain per gallon (US),
cfd_mx.unidadesmedida_K69,K69,pound (avoirdupois) per cubic foot degree Fahrenheit,
cfd_mx.unidadesmedida_K70,K70,pound (avoirdupois) per cubic foot psi,
cfd_mx.unidadesmedida_K71,K71,pound (avoirdupois) per gallon (UK),
cfd_mx.unidadesmedida_K75,K75,pound (avoirdupois) per cubic inch degree Fahrenheit,
cfd_mx.unidadesmedida_K76,K76,pound (avoirdupois) per cubic inch psi,
cfd_mx.unidadesmedida_K84,K84,pound per cubic yard,
cfd_mx.unidadesmedida_L17,L17,milligram per cubic metre kelvin,
cfd_mx.unidadesmedida_L18,L18,milligram per cubic metre bar,
cfd_mx.unidadesmedida_L37,L37,ounce (avoirdupois) per gallon (UK),
cfd_mx.unidadesmedida_L38,L38,ounce (avoirdupois) per gallon (US),
cfd_mx.unidadesmedida_L39,L39,ounce (avoirdupois) per cubic inch,
cfd_mx.unidadesmedida_L65,L65,slug per cubic foot,
cfd_mx.unidadesmedida_L76,L76,tonne per cubic metre kelvin,
cfd_mx.unidadesmedida_L77,L77,tonne per cubic metre bar,
cfd_mx.unidadesmedida_L92,L92,ton (UK long) per cubic yard,
cfd_mx.unidadesmedida_L93,L93,ton (US short) per cubic yard,
cfd_mx.unidadesmedida_K77,K77,pound (avoirdupois) per psi,
cfd_mx.unidadesmedida_L70,L70,tonne per bar,
cfd_mx.unidadesmedida_L91,L91,ton short per psi,
cfd_mx.unidadesmedida_M74,M74,kilogram per pascal,SI base unit kilogram divided by the derived SI unit pascal.
cfd_mx.unidadesmedida_C62,C62,one,Synonym: unit
cfd_mx.unidadesmedida_A39,A39,cubic metre per kilogram,
cfd_mx.unidadesmedida_22,22,decilitre per gram,
cfd_mx.unidadesmedida_H65,H65,millilitre per cubic metre,
cfd_mx.unidadesmedida_H83,H83,litre per kilogram,
cfd_mx.unidadesmedida_KX,KX,millilitre per kilogram,
cfd_mx.unidadesmedida_H15,H15,square centimetre per gram,
cfd_mx.unidadesmedida_N28,N28,cubic decimetre per kilogram,"0,001 fold of the power of the SI base unit meter by exponent 3 divided by the SI based unit kilogram."
cfd_mx.unidadesmedida_N29,N29,cubic foot per pound,Power of the unit foot according to the Anglo-American and Imperial system of units by exponent 3 divided by the unit avoirdupois pound according to the avoirdupois unit system.
cfd_mx.unidadesmedida_N30,N30,cubic inch per pound,Power of the unit inch according to the Anglo-American and Imperial system of units by exponent 3 divided by the avoirdupois pound according to the avoirdupois unit system .
cfd_mx.unidadesmedida_KL,KL,kilogram per metre,
cfd_mx.unidadesmedida_GF,GF,gram per metre (gram per 100 centimetres),
cfd_mx.unidadesmedida_H76,H76,gram per millimetre,
cfd_mx.unidadesmedida_KW,KW,kilogram per millimetre,
cfd_mx.unidadesmedida_C12,C12,milligram per metre,
cfd_mx.unidadesmedida_M31,M31,kilogram per kilometre,
cfd_mx.unidadesmedida_P2,P2,pound per foot,
cfd_mx.unidadesmedida_PO,PO,pound per inch of length,
cfd_mx.unidadesmedida_M83,M83,denier ,Traditional unit for the indication of the linear mass of textile fibers and yarns.
cfd_mx.unidadesmedida_M84,M84,pound per yard ,Unit for linear mass according to avoirdupois system of units.
cfd_mx.unidadesmedida_GO,GO,milligram per square metre,
cfd_mx.unidadesmedida_25,25,gram per square centimetre,
cfd_mx.unidadesmedida_H63,H63,milligram per square centimetre,
cfd_mx.unidadesmedida_GM,GM,gram per square metre,
cfd_mx.unidadesmedida_28,28,kilogram per square metre,
cfd_mx.unidadesmedida_D5,D5,kilogram per square centimetre,
cfd_mx.unidadesmedida_ON,ON,ounce per square yard,
cfd_mx.unidadesmedida_37,37,ounce per square foot,
cfd_mx.unidadesmedida_B31,B31,kilogram metre per second,
cfd_mx.unidadesmedida_M98,M98,kilogram centimetre per second,"Product of the SI base unit kilogram and the 0,01-fold of the SI base unit metre divided by the SI base unit second."
cfd_mx.unidadesmedida_M99,M99,gram centimetre per second,"Product of the 0,001-fold of the SI base unit kilogram and the 0,01-fold of the SI base unit metre divided by the SI base unit second."
cfd_mx.unidadesmedida_N10,N10,pound foot per second,Product of the avoirdupois pound according to the avoirdupois unit system and the unit foot according to the Anglo-American and Imperial system of units divided by the SI base unit second.
cfd_mx.unidadesmedida_N11,N11,pound inch per second,Product of the avoirdupois pound according to the avoirdupois unit system and the unit inch according to the Anglo-American and Imperial system of units divided by the SI base unit second.
cfd_mx.unidadesmedida_B33,B33,kilogram metre squared per second,
cfd_mx.unidadesmedida_B32,B32,kilogram metre squared,
cfd_mx.unidadesmedida_F20,F20,pound inch squared,
cfd_mx.unidadesmedida_K65,K65,pound (avoirdupois) square foot,
cfd_mx.unidadesmedida_NEW,NEW,newton,
cfd_mx.unidadesmedida_B73,B73,meganewton,
cfd_mx.unidadesmedida_B47,B47,kilonewton,
cfd_mx.unidadesmedida_C20,C20,millinewton,
cfd_mx.unidadesmedida_B92,B92,micronewton,
cfd_mx.unidadesmedida_C78,C78,pound-force,
cfd_mx.unidadesmedida_L40,L40,ounce (avoirdupois)-force,
cfd_mx.unidadesmedida_L94,L94,ton-force (US short),
